,id,title,sub_title,status,poster_path,summary,authors,type,genres,nsfw,total_chapter
0,668ceb1f650afc1d4a147f31,Spirit Sword Master,"Ling Jian Zun, 灵剑尊Spirit Sword Sovereign",ongoing,https://usc1.contabostorage.com/scraper/mangas/668ceb1f650afc1d4a147f31/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=744d2d927707afe03d9911485195fde04e60bc7cc86a2abb393daabd35b9169e,"Once the spirit sword roars, within heaven, earth and the three worlds, I shall reign as the sovereign! Those who do not submit shall die!
",['iCiyuan'],china,"['Action', 'Fantasy', 'Martial Arts']",False,455
1,668cbb30650afc1d4a1457ec,Release That Witch,放开那个女巫,ongoing,https://usc1.contabostorage.com/scraper/mangas/668cbb30650afc1d4a1457ec/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=416ad1358994c14b6e9585baeb073c8750a7f6a611e63f0a777fb8c65b06d3b6,"A male engineer transmigrated into another world, and became a prince. This place strikingly resembles the Middle Ages of Europe, but at the same time, it seems kind of different? Witches truly exists, and they even possess magic powers! Magic powers are productive forces! Save the witches, liberate the productive forces! Open map, fight demons, break conspiracies, climb up the science and technology tree, and open the path of hardcore ‘farming’!
","['Er Mu', 'Dr Woodman']",china,"['Action', 'Fantasy', 'Harem', 'Drama', 'Supernatural', 'Adventure', 'Seinen', 'Historical', 'Isekai']",False,539
2,668c9dc2650afc1d4a14344c,Ultimate Scheming System,Bluffing Master Strongest Anti M.E.T.A.  Zui Qiang Fan Taolu Xìtong The Ultimate Scheming System,ongoing,https://usc1.contabostorage.com/scraper/mangas/668c9dc2650afc1d4a14344c/thumb.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=8725fc17b1da34a648a7d9c95745d27773387a10861b1c3ace60e5f2ccce865d,"Scamming all day, every day, often venturing alone. He bluffs to get the ultimate power in this cultivation world?! world traveler Xue Que doesn’t always bluff, but he needs to.Term : META Stands for (Most Effective Tactic Available) Metagaming is any strategy, action or method used in a game which transcends a prescribed ruleset, uses external factors to affect the game, or goes beyond the supposed limits or environment set by the game. Another definition refers to the game universe outside of the game itself. (citation needed)
",['Chu Ying She Tu'],china,"['Action', 'Fantasy', 'Martial Arts', 'Adventure', 'Isekai']",False,638
3,668c7c86650afc1d4a141590,Martial God Asura,MGA Tu La Vũ Thần Xiuluo Wushen 修罗武神,ongoing,https://usc1.contabostorage.com/scraper/mangas/668c7c86650afc1d4a141590/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=69d9b0904bdffff536d5db23cc36826519e94defcb84b5f6cecb4845e17f76bb,"One night a mysterious and unexplained phenomenon occurs in the nine provinces. Five years later Chu Feng, a regular outer disciple of the Azure Dragon school, awakens one of the mysterious nine lightning beasts. And discovers an egg sealed inside him.
",[''],china,"['Action', 'Harem', 'Romance', 'Martial Arts', 'Adventure']",False,808
4,6668b0a6650afc1d4a134381,I Have A Dragon In My Body,我身上有条龙,ongoing,https://usc1.contabostorage.com/scraper/mangas/6668b0a6650afc1d4a134381/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=206a7fa090bee43e567fa920f097216c0229ec274db889af2b5933c075b7dc28,"Introducing a generation of Celestial Masters and returning to high school, he was surprised to find that he had a dragon in his body... When you are still very weak and face bullying, will you fight desperately or obey? In the previous life, he obeyed, but in this life... The romantic emperor rushed across the city, turning his hands over the clouds, and there was only one mind in mind: I am the king, and where is he? !!
",['Kasumi Morino'],china,"['Action', 'School Life', 'Martial Arts']",False,636
5,66683945650afc1d4a1304e1, Martial Arts Reigns,Wu dao du zun,ongoing,https://usc1.contabostorage.com/scraper/mangas/66683945650afc1d4a1304e1/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=890406e2456c9301968cd7464fe40af0a758445d6b19c757af3cb6d82dc3fdba,"Ye Ming, the rising star of Family Ye is regarded as a genius among his peer cultivators. But he was schemed by his jealous cousin and the latter cut his meridians, crippled his abilities and hamstrung him ruthlessly. But Ye Ming never gives up because he’d sacrifice everything for take revenge for his deceased parents who were murdered by Family Huang. But he doesn’t know that he is considered a pain in the neck to Family Ye and a big conspiracy is looming out of the darkness…
",[''],china,"['Action', 'Fantasy', 'Adventure']",False,632
6,6667f757650afc1d4a12d108,Star Martial God Technique,星武神诀; Xing Wu Shen Jue,ongoing,https://usc1.contabostorage.com/scraper/mangas/6667f757650afc1d4a12d108/thumb.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=0ad2dd0586a2d9ad67790e4ae2d4e4d4f4cf9e287d6b045901a3528feb608cba,"In the whole world there lays twelve paths to climb Tower of God, and in legends these twelve pathways leads toward legendary road of immortality. However these paths in the Tower of God, are far too long, without end.In ancient times there once were many types of martial arts, sadly the world underwent terrible changes, and only three were left: Flame, Dragon and Star Martial Arts. Generations of experts of those three martial arts are searching for the road of immortality.A Star Martial Arts practitioner on his journey of lifetime, plans to become the Highest God.
","['Mad Snail', 'N/A']",china,"['Action', 'Fantasy', 'Martial Arts', 'Adventure']",False,755
7,6667af4f650afc1d4a129e84,Yuan Zun,元尊 Yuán zūn,ongoing,https://usc1.contabostorage.com/scraper/mangas/6667af4f650afc1d4a129e84/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=0c10e90425d731dc58af164b69397916ec3eedeca6b698b6433a3e7a1927b0b1,"A teenager holds a pen, while a dragon dances; Chaos surrounds the world, lighting the sky. In this world, will the python swallow the dragon, or will the saint dragon rise?!
",['Tian Can Tu Dou'],china,"['Action', 'Fantasy', 'Romance', 'Martial Arts', 'Adventure']",False,1234
8,66677d0d650afc1d4a127c0b,Peerless Battle Spirit,Berserk Peerless Battle Spirit Berserk Sovereign of Battle,ongoing,https://usc1.contabostorage.com/scraper/mangas/66677d0d650afc1d4a127c0b/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=ef2a8442ecbaacfbf625a6a1a65501eb7faea1a19095ee33f554541ecabacb1a,"In the Canglan Continent, only those that who manage to awaken a Martial Spirit can walk on the path of cultivation. In this world, only those with stronger martial spirits can communicate with the heavens and earth. Qin Nan, born in Linshui City, was a peerless genius who possessed talent and was thought to become a great cultivator in the future. However, things changed when he ended up awakening a grade 1 Martial Spirit, resulting in him being considered as trash.Fortunately enough, Qin Nan was struck by a ray of lightning while practicing his martial arts and coincidentally obtained the Divine Battle Spirit, which was capable of levelling up. Breaking the ultimate rule of the Canglan Continent, little did Qin Nan knew that his Martial Spirit possessed a great secret that will slowly unravel the mystery as the story goes on.Now join Qin Nan and his companion along their journey, battling against various opponents, outsmarting their enemies and seeking the answers to unveil mysteries
",[''],china,"['Action', 'Fantasy', 'Martial Arts', 'Adventure']",False,654
9,6664b0d9650afc1d4a11ffd9,Magic Emperor,Demon Magic Emperor Housekeeper is the Magic Emperor Mo Huang Da Guan Jia 魔皇大管家,ongoing,https://usc1.contabostorage.com/scraper/mangas/6664b0d9650afc1d4a11ffd9/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240729%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240729T165324Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=4488ba094329379ab882dfb20fc54779ce5e0ea6e7f4e738beb7a4c032ceb866,"Zhuo Yifan was a magic emperor or could be called a demon emperor because he had an ancient emperor’s book called the Book of the Nine Secrets, he was targeted by all the experts and he was even betrayed and killed by his students. Then his soul enters and comes back to life in a family servant boy named Zhuo Fan. Because some demonic magic is holding him back, he must unite the child’s memories and cannot ignore the family and the mistress he serves. How can he lead this descending family back to the pinnacle of this continent!
","['Tae Hyeon Park', 'Shunsuke Ogata']",china,"['Action', 'Fantasy', 'Martial Arts', 'Adventure']",False,573
